0  n0	0.1
0  n1	0.1
0  n0	0.2
0  n1	0.2
0  n0	0.3
0  n1	0.3
0  n0	0.4
0  n1	0.4
0  n0	0.5
0  n1	0.5
0  n0	0.6
0  n1	0.6
125873  n0	0.7
33  n1	0.7
125245  n0	0.8
32.8354  n1	0.8
124621  n0	0.9
32.6716  n1	0.9
123999  n0	1
32.5087  n1	1
0  n0	1.1
0  n1	1.1
0  n0	1.2
0  n1	1.2
0  n0	1.3
0  n1	1.3
0  n0	1.4
0  n1	1.4
0  n0	1.5
0  n1	1.5
0  n0	1.6
0  n1	1.6
1  n0	1.7
0  n1	1.7
1.99501  n0	1.8
0  n1	1.8
1.98506  n0	1.9
0  n1	1.9
1.97516  n0	2
0  n1	2
1.96531  n0	2.1
0  n1	2.1
1.95551  n0	2.2
0  n1	2.2
1.94576  n0	2.3
1  n1	2.3
1.93605  n0	2.4
1.99501  n1	2.4
1.92639  n0	2.5
1.98506  n1	2.5
1.91679  n0	2.6
1.97516  n1	2.6
1.90723  n0	2.7
1.96531  n1	2.7
1.89771  n0	2.8
1.95551  n1	2.8
1.88825  n0	2.9
1.94576  n1	2.9
1.87883  n0	3
1.93605  n1	3
1.86946  n0	3.1
1.92639  n1	3.1
1.86014  n0	3.2
1.91679  n1	3.2
1.85086  n0	3.3
1.90723  n1	3.3
1.84163  n0	3.4
1.89771  n1	3.4
1.83244  n0	3.5
1.88825  n1	3.5
1.8233  n0	3.6
1.87883  n1	3.6
1.81421  n0	3.7
1.86946  n1	3.7
1.80516  n0	3.8
1.86014  n1	3.8
1.79616  n0	3.9
1.85086  n1	3.9
1.7872  n0	4
1.84163  n1	4
1.77829  n0	4.1
1.83244  n1	4.1
1.76942  n0	4.2
1.8233  n1	4.2
1.76059  n0	4.3
1.81421  n1	4.3
1.75181  n0	4.4
1.80516  n1	4.4
1.74307  n0	4.5
1.79616  n1	4.5
1.73438  n0	4.6
1.7872  n1	4.6
1.72573  n0	4.7
1.77829  n1	4.7
1.71712  n0	4.8
1.76942  n1	4.8
1.70856  n0	4.9
1.76059  n1	4.9
1.70004  n0	5
1.75181  n1	5
1.69156  n0	5.1
1.74307  n1	5.1
1.68312  n0	5.2
1.73438  n1	5.2
1.67473  n0	5.3
1.72573  n1	5.3
1.66637  n0	5.4
1.71712  n1	5.4
1.65806  n0	5.5
1.70856  n1	5.5
1.64979  n0	5.6
1.70004  n1	5.6
1.64157  n0	5.7
1.69156  n1	5.7
1.63338  n0	5.8
1.68312  n1	5.8
1.62523  n0	5.9
1.67473  n1	5.9
1.61713  n0	6
1.66637  n1	6
1.60906  n0	6.1
1.65806  n1	6.1
1.60104  n0	6.2
1.64979  n1	6.2
1.59305  n0	6.3
1.64157  n1	6.3
1.5851  n0	6.4
1.63338  n1	6.4
1.5772  n0	6.5
1.62523  n1	6.5
1.56933  n0	6.6
1.61713  n1	6.6
1.56151  n0	6.7
1.60906  n1	6.7
1.55372  n0	6.8
1.60104  n1	6.8
1.54597  n0	6.9
1.59305  n1	6.9
1.53826  n0	7
1.5851  n1	7
1.53059  n0	7.1
1.5772  n1	7.1
1.52295  n0	7.2
1.56933  n1	7.2
1.51536  n0	7.3
1.56151  n1	7.3
1.5078  n0	7.4
1.55372  n1	7.4
1.50028  n0	7.5
1.54597  n1	7.5
1.4928  n0	7.6
1.53826  n1	7.6
1.48535  n0	7.7
1.53059  n1	7.7
1.47794  n0	7.8
1.52295  n1	7.8
1.47057  n0	7.9
1.51536  n1	7.9
1.46324  n0	8
1.5078  n1	8
1.45594  n0	8.1
1.50028  n1	8.1
1.44868  n0	8.2
1.4928  n1	8.2
1.44145  n0	8.3
1.48535  n1	8.3
1.43426  n0	8.4
1.47794  n1	8.4
1.42711  n0	8.5
1.47057  n1	8.5
1.41999  n0	8.6
1.46324  n1	8.6
1.41291  n0	8.7
1.45594  n1	8.7
1.40586  n0	8.8
1.44868  n1	8.8
1.39885  n0	8.9
1.44145  n1	8.9
1.39187  n0	9
1.43426  n1	9
1.38493  n0	9.1
1.42711  n1	9.1
1.37802  n0	9.2
1.41999  n1	9.2
1.37115  n0	9.3
1.41291  n1	9.3
1.36431  n0	9.4
1.40586  n1	9.4
1.35751  n0	9.5
1.39885  n1	9.5
1.35074  n0	9.6
1.39187  n1	9.6
1.344  n0	9.7
1.38493  n1	9.7
1.3373  n0	9.8
1.37802  n1	9.8
1.33063  n0	9.9
1.37115  n1	9.9
1.32399  n0	10
1.36431  n1	10
1.31739  n0	10.1
1.35751  n1	10.1
1.31082  n0	10.2
1.35074  n1	10.2
1.30428  n0	10.3
1.344  n1	10.3
1.29777  n0	10.4
1.3373  n1	10.4
1.2913  n0	10.5
1.33063  n1	10.5
